geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:0006631	fatty acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006631	238	47	22.226229785792903	2.1146186489101537	5.383456657126473e-7	1.490803381973485e-5	815160;815998;816412;816820;817205;818973;819205;819337;820216;821808;822102;822525;823942;824005;824702;826919;828019;828484;828553;828811;830332;830825;830912;831406;831484;834273;834876;835369;837146;837286;837610;839131;839395;839891;840977;841367;841787;841900;842375;842961;843077;843182;843628;843835;844001;844002;844094
GO:0072330	monocarboxylic acid biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0072330	298	54	27.829480992295316	1.9403883247032194	1.3623262649087309e-6	3.334159223911115e-5	815160;815998;816412;816781;817205;818280;818973;821808;821965;822008;822102;822167;822169;822525;823556;824493;824702;826730;826919;828553;828726;828758;828811;829043;829167;830058;830302;830332;830912;831406;831484;834273;835369;837146;837286;837418;837507;837610;837953;839131;839395;839891;840977;841900;842375;842775;842961;843077;843182;843810;843835;843988;844001;844002
GO:0016999	antibiotic metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016999	181	38	16.903141139615613	2.2481028636115465	1.3892330099629646e-6	3.334159223911115e-5	816359;816415;816892;817017;817967;818280;818746;818949;819052;820723;821314;823067;824158;826480;827834;828805;829140;829304;829751;830058;830416;830825;831330;831650;833954;834351;836531;836533;836640;836876;837028;837095;837304;838016;838651;839971;841883;843810
GO:0009415	response to water	http://amigo.geneontology.org/amigo/term/GO:0009415	332	58	31.00465667598002	1.8706867360648396	1.898224091911871e-6	4.2710042068017096e-5	815055;815058;815101;816092;816186;816317;818097;818199;818280;818293;818435;818457;820155;820314;821879;822833;823942;824262;824355;824410;824510;824642;824647;827773;827956;828598;829322;829571;829998;830068;830565;831454;832468;832703;832860;834570;836626;837028;837095;837576;837934;838207;838887;839235;839515;839666;840100;840250;840476;840915;841722;842563;842775;843306;843404;843950;844279;3768804
GO:0009642	response to light intensity	http://amigo.geneontology.org/amigo/term/GO:0009642	148	32	13.821352976039286	2.315258141187425	4.853175542773869e-6	1.0277312914109369e-4	815055;815058;815247;816733;817155;817329;817499;817771;818709;821855;823901;823942;824654;825320;827119;827463;828582;832145;834652;835507;835515;836103;836789;838366;839300;839666;840069;841687;842446;842477;843027;843771
GO:0009225	nucleotide-sugar metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009225	49	16	4.575988485310304	3.4965122948544787	5.155570101944562e-6	1.0311140203889124e-4	817426;818562;819378;821233;822594;831402;831596;833928;834475;836047;836760;839197;839993;841785;843027;844193
GO:0016052	carbohydrate catabolic process	http://amigo.geneontology.org/amigo/term/GO:0016052	223	42	20.8254169841673	2.0167663404737994	7.525654104556523e-6	1.4259134092843936e-4	816781;818961;818964;819886;820241;822063;822361;824083;824485;824608;824919;826535;826706;826936;827005;827185;827725;828080;828580;828758;829043;829458;830833;832093;834948;834996;835223;835224;835369;837507;838871;839385;839452;839891;840454;841315;842747;842872;843100;843408;843902;843988
GO:0009639	response to red or far red light	http://amigo.geneontology.org/amigo/term/GO:0009639	204	38	19.051054102108203	1.9946402858514214	2.6128562399918565e-5	4.7031412319853416e-4	814823;815055;815058;816133;817457;817696;818596;820043;820961;821027;821855;822008;824019;824654;826626;827051;827119;827384;828638;829435;830062;830325;830779;832370;832477;834434;834570;834784;835301;835507;837576;837989;837990;839300;839508;839869;842288;844173
GO:0042044	fluid transport	http://amigo.geneontology.org/amigo/term/GO:0042044	34	12	3.1751756836847007	3.7793184363500614	3.246092989961369e-5	5.564730839933775e-4	816186;817123;818255;818293;820355;822259;824510;824647;827641;827956;839235;842775
GO:0044262	cellular carbohydrate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0044262	391	60	36.51452036237406	1.6431819288478529	7.560163587416735e-5	0.0012371176779409202	815247;817083;817814;818259;818412;818562;820683;821182;821245;821955;823617;824746;826535;826603;826706;827051;827185;827905;828080;828686;828805;829150;829151;829152;830825;830847;830881;830979;831596;832042;834475;835860;836213;837095;837507;837698;837777;838037;838871;838877;839385;840109;840454;841047;841315;841567;842035;842108;842563;842747;842839;842872;842961;843016;843054;843408;843450;843761;843902;843988
GO:0009611	response to wounding	http://amigo.geneontology.org/amigo/term/GO:0009611	169	32	15.78249089831513	2.0275633425783366	8.005014035072922e-5	0.0012529587185331529	814828;816733;818471;820591;820768;820895;821879;822119;824608;826730;829730;830779;831162;831241;832004;832311;834273;834378;834646;835085;836103;836464;839349;839666;840915;841047;842814;842994;843077;843407;843998;844002
GO:0010817	regulation of hormone levels	http://amigo.geneontology.org/amigo/term/GO:0010817	319	51	29.790618914571162	1.711948319914056	9.067928525174906e-5	0.001360189278776236	814903;815160;816481;816892;817157;817376;817732;818252;818280;818298;818390;819554;820257;822167;822169;823556;825519;826730;828645;828726;829435;829790;830058;830453;830518;830592;831241;831866;832073;833607;834273;835504;836464;837095;837418;837830;837971;837972;838284;839108;839345;839353;839501;839508;843077;843810;843886;844002;844069;844105;844193
GO:0009812	flavonoid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009812	74	18	6.910676488019643	2.604665408835853	1.1714120479155987e-4	0.0016868333489984623	814828;817157;819052;819359;824287;824678;828669;829322;830409;830693;830765;831241;831568;835028;835504;837109;839933;844193
GO:0006091	generation of precursor metabolites and energy	http://amigo.geneontology.org/amigo/term/GO:0006091	416	62	38.8492083650834	1.5959141153497454	1.3534745153398475e-4	0.0018740416366244044	815055;815058;816359;816733;816781;817044;818005;818056;819088;820043;820723;820871;821604;821806;822416;823541;823901;824654;825320;825866;826626;827921;827996;828758;828805;828994;829043;830325;830825;831256;831596;832042;832145;832275;832477;834351;834937;835179;835286;835369;835515;835903;836542;836640;836751;836789;837178;837358;837507;838151;838455;838622;839748;839869;839871;839891;842016;842446;842785;843903;843942;843988
GO:0072593	reactive oxygen species metabolic process	http://amigo.geneontology.org/amigo/term/GO:0072593	145	28	13.541190415714164	2.067765029543252	1.5462396150112134e-4	0.0020616528200149515	815055;815058;816415;817017;817967;818746;818949;821314;823067;824158;826480;827834;829140;829304;829751;830416;831650;833954;836531;836533;836876;837028;837304;838016;838651;839971;840148;841883
GO:1901568	fatty acid derivative metabolic process	http://amigo.geneontology.org/amigo/term/GO:1901568	29	10	2.7082380831428328	3.6924375527558073	1.852626000622415e-4	0.002381947715085962	819337;824702;828553;832311;834273;835889;839395;841575;842150;843182
GO:0009735	response to cytokinin	http://amigo.geneontology.org/amigo/term/GO:0009735	214	36	19.98492930319194	1.8013573855500291	3.541256679138183e-4	0.004396042774102571	816545;820043;820883;821705;822250;822416;823067;825489;826987;827384;827773;827947;828149;828475;828996;829322;829564;830088;832185;833535;834633;835410;835926;837095;837304;837953;838259;838487;838591;840098;841653;842288;842446;842944;843828;844173
GO:0044036	cell wall macromolecule metabolic process	http://amigo.geneontology.org/amigo/term/GO:0044036	154	28	14.381678096689527	1.9469216187257892	4.3778470096988986e-4	0.005253416411638678	815247;818259;818412;818961;818964;821245;821955;824608;827051;827905;828131;828686;829150;829151;829152;830833;834996;835860;836213;837095;837698;837724;838037;840109;842108;842839;843027;843054
GO:0042440	pigment metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042440	162	29	15.128778257556515	1.9168765320170578	4.5600307762017067e-4	0.00529551961107295	814828;817157;819052;819359;820678;821855;824861;826798;827119;827230;828353;828853;829322;830765;830985;831207;831241;831587;831984;834633;835028;835504;835507;837109;838554;839933;842198;843788;844193
GO:0009411	response to UV	http://amigo.geneontology.org/amigo/term/GO:0009411	92	19	8.591651849970367	2.211449012574402	7.250169520038874e-4	0.008156440710043733	816733;816819;818280;819359;819971;821027;821855;824257;824287;824678;827119;827220;830018;830453;831241;832438;835301;836103;836114
GO:0042546	cell wall biogenesis	http://amigo.geneontology.org/amigo/term/GO:0042546	199	33	18.584116501566335	1.7757099185865868	7.926887161513463e-4	0.008647513267105595	815021;815247;817814;818259;818412;821233;821245;821955;827051;827905;828686;829150;829151;829152;830847;834496;834987;835028;835860;836213;837698;837968;838037;839747;840109;840223;842035;842108;842839;842999;843027;843054;843886
GO:0071669	plant-type cell wall organization or biogenesis	http://amigo.geneontology.org/amigo/term/GO:0071669	217	35	20.26509186351706	1.727107887579329	9.345536339445681e-4	0.00989527377117778	815021;817037;817444;817814;818553;818779;818917;821233;821245;822485;822594;823892;824623;824624;824715;827905;829150;830847;831402;834742;834987;835028;835860;836213;836500;837813;838608;839747;840223;842035;842108;842999;843054;843288;843886
GO:0010143	cutin biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0010143	19	7	1.7743628820590973	3.945078016891731	0.0011189135620668367	0.01150882520983032	818435;819337;827165;828140;832459;841367;842775
GO:0006575	cellular modified amino acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006575	112	21	10.459402252137837	2.00776291931097	0.0014592300064456554	0.014592300064456554	817493;817498;819022;819386;821964;825167;829949;832691;837576;838288;838289;839295;839515;839603;843328;843329;844169;844173;844202;844203;844204
GO:0009753	response to jasmonic acid	http://amigo.geneontology.org/amigo/term/GO:0009753	200	32	18.67750402167471	1.7132910244786943	0.0017317491517720995	0.016849451206431238	814828;818558;818562;820155;820768;820895;821879;822525;826730;827725;827834;829282;829730;830018;830592;830779;831162;831241;832004;832686;834273;834646;834768;836026;836210;837127;838122;838200;839748;840915;843407;843784
GO:0006790	sulfur compound metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006790	327	47	30.53771907543815	1.539080239879561	0.0018258611601916774	0.01729763204392115	817083;817493;817498;817869;818260;818995;819022;819052;819386;820887;820888;821147;821964;823557;825167;825183;826821;826987;827230;828288;828994;829178;829891;832311;832691;834444;835006;835567;836210;837576;837610;838288;838289;839077;839295;839501;839515;839603;842043;842281;842375;842944;842945;843328;843329;844169;844173
GO:0015849	organic acid transport	http://amigo.geneontology.org/amigo/term/GO:0015849	122	22	11.393277453221573	1.9309632448018073	0.0019225550243620049	0.01774666176334158	815261;816783;818002;818232;818390;818718;824740;826685;827308;829301;829671;830355;831866;831896;834652;836505;838122;839550;840100;842477;844074;844105
GO:0015977	carbon fixation	http://amigo.geneontology.org/amigo/term/GO:0015977	22	7	2.054525442384218	3.407112832770131	0.0029518997070452357	0.02656709736340712	820723;822277;824746;833828;837848;840098;840895
GO:0000160	phosphorelay signal transduction system	http://amigo.geneontology.org/amigo/term/GO:0000160	203	31	18.95766658199983	1.6352223447918575	0.004196792283446382	0.03670708137484142	817403;817936;819365;820768;820883;821705;822164;827379;827463;827464;827527;828475;829322;830651;834444;834768;834770;835410;835845;837095;838487;838887;839143;839732;840915;841047;842288;842527;843575;843589;843828
GO:0046677	response to antibiotic	http://amigo.geneontology.org/amigo/term/GO:0046677	280	40	26.148505630344594	1.5297241289988344	0.004282492827064832	0.03670708137484142	814903;815101;815160;817155;817499;817771;818562;819584;819784;820264;820299;822525;824257;828090;828276;828426;829915;830018;830058;830779;831023;831156;831162;834646;834904;837127;837252;838122;838200;838366;838651;839748;840454;840915;841047;841687;842280;843771;843784;3768804
GO:1901698	response to nitrogen compound	http://amigo.geneontology.org/amigo/term/GO:1901698	284	40	26.522055710778087	1.5081787187312452	0.005474123160167488	0.04564874842758087	817155;817362;818199;818319;818562;820768;820901;821402;823641;823751;824292;824410;827463;827464;827622;829282;829915;829949;830062;830313;831023;832801;834090;834646;834768;834770;835085;835179;835369;835656;836103;836587;836881;837095;837576;838487;838641;839666;842281;842527
GO:0048646	anatomical structure formation involved in morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048646	157	25	14.661840657014647	1.7051065132152612	0.0055792914744821065	0.04564874842758087	816604;817157;817444;818390;818520;818553;819554;821808;822075;824702;824715;826983;828940;829435;830453;830979;831988;835028;835234;835845;836269;838418;841367;842814;844105
GO:0009991	response to extracellular stimulus	http://amigo.geneontology.org/amigo/term/GO:0009991	217	32	20.26509186351706	1.579070068643958	0.0062437482360758745	0.049949985888606996	814828;816092;821826;822488;823557;825442;827487;827773;828271;828582;828638;828805;829571;832193;832801;832990;835028;835179;836210;838207;838651;838887;839349;840100;840990;841144;842043;842527;842944;843027;843550;844279
